route_id,service_id,trip_id,trip_headsign,shape_id,wheelchair_accessible
L991D1,1,1,"Nemocnice Motol",1,1
L991D1,1,2,"Depo Hostivař",2,1
L991D1,1,3,"Nemocnice Motol",3,1
L991D1,1,4,"Depo Hostivař",4,1
L991D1,1,5,"Nemocnice Motol",5,1
L991D1,1,6,"Depo Hostivař",2,1
L991D1,1,7,"Nemocnice Motol",3,1
L991D1,1,8,"Skalka",6,1
L991D1,1,9,"Nemocnice Motol",1,1
L991D1,1,10,"Depo Hostivař",2,1
L991D1,1,11,"Nemocnice Motol",3,1
L991D1,1,12,"Depo Hostivař",2,1
L991D1,1,13,"Nemocnice Motol",3,1
L991D1,1,14,"Skalka",6,1
L991D1,1,15,"Nemocnice Motol",1,1
L991D1,1,16,"Skalka",6,1
L991D1,1,17,"Nemocnice Motol",1,1
L991D1,1,18,"Skalka",6,1
L991D1,1,19,"Nemocnice Motol",1,1
L991D1,1,20,"Skalka",7,1
L991D1,1,21,"Nemocnice Motol",1,1
L991D1,1,22,"Skalka",6,1
L991D1,1,23,"Nemocnice Motol",1,1
L991D1,1,24,"Skalka",7,1
L991D1,1,25,"Nemocnice Motol",1,1
L991D1,1,26,"Depo Hostivař",2,1
L991D1,1,27,"Nemocnice Motol",3,1
L991D1,1,28,"Depo Hostivař",2,1
L991D1,1,29,"Nemocnice Motol",3,1
L991D1,1,30,"Depo Hostivař",2,1
L991D1,1,31,"Nemocnice Motol",3,1
L991D1,1,32,"Depo Hostivař",2,1
L991D1,1,33,"Nemocnice Motol",3,1
L991D1,1,34,"Depo Hostivař",4,1
L991D1,1,35,"Nemocnice Motol",5,1
L991D1,1,36,"Depo Hostivař",2,1
L991D1,1,37,"Nemocnice Motol",3,1
L991D1,1,38,"Depo Hostivař",4,1
L991D1,1,39,"Nemocnice Motol",5,1
L991D1,1,40,"Depo Hostivař",2,1
L991D1,1,41,"Nemocnice Motol",3,1
L991D1,2,42,"Depo Hostivař",4,1
L991D1,1,43,"Nemocnice Motol",5,1
L991D1,1,44,"Depo Hostivař",2,1
L991D1,1,45,"Nemocnice Motol",3,1
L991D1,1,46,"Depo Hostivař",2,1
L991D1,1,47,"Nemocnice Motol",8,1
L991D1,1,48,"Skalka",6,1
L991D1,1,49,"Nemocnice Motol",1,1
L991D1,1,50,"Skalka",6,1
L991D1,1,51,"Nemocnice Motol",1,1
L991D1,1,52,"Skalka",6,1
L991D1,1,53,"Nemocnice Motol",1,1
L991D1,1,54,"Depo Hostivař",2,1
L991D1,1,55,"Nemocnice Motol",3,1
L991D1,1,56,"Skalka",6,1
L991D1,1,57,"Nemocnice Motol",1,1
L991D1,1,58,"Depo Hostivař",2,1
L991D1,1,59,"Nemocnice Motol",3,1
L991D1,1,60,"Skalka",6,1
L991D1,1,61,"Nemocnice Motol",1,1
L991D1,1,62,"Skalka",6,1
L991D1,1,63,"Nemocnice Motol",1,1
L991D1,1,64,"Skalka",6,1
L991D1,1,65,"Nemocnice Motol",1,1
L991D1,1,66,"Skalka",7,1
L991D1,1,67,"Nemocnice Motol",1,1
L991D1,1,68,"Skalka",6,1
L991D1,1,69,"Nemocnice Motol",1,1
L991D1,1,70,"Skalka",7,1
L991D1,1,71,"Nemocnice Motol",1,1
L991D1,1,72,"Depo Hostivař",2,1
L991D1,1,73,"Nemocnice Motol",3,1
L991D1,1,74,"Depo Hostivař",2,1
L991D1,1,75,"Nemocnice Motol",3,1
L991D1,1,76,"Depo Hostivař",2,1
L991D1,1,77,"Nemocnice Motol",3,1
L991D1,1,78,"Depo Hostivař",2,1
L991D1,1,79,"Nemocnice Motol",8,1
L991D1,1,80,"Depo Hostivař",2,1
L991D1,1,81,"Nemocnice Motol",8,1
L991D1,1,82,"Depo Hostivař",2,1
L991D1,1,83,"Nemocnice Motol",3,1
L991D1,1,84,"Depo Hostivař",2,1
L991D1,1,85,"Nemocnice Motol",3,1
L991D1,1,86,"Depo Hostivař",2,1
L991D1,1,87,"Nemocnice Motol",3,1
L991D1,1,88,"Depo Hostivař",2,1
L991D1,2,89,"Nemocnice Motol",3,1
L991D1,1,90,"Depo Hostivař",2,1
L991D1,1,91,"Nemocnice Motol",3,1
L991D1,1,92,"Depo Hostivař",2,1
L991D1,1,93,"Nemocnice Motol",3,1
L991D1,1,94,"Depo Hostivař",2,1
L991D1,1,95,"Nemocnice Motol",8,1
L991D1,1,96,"Depo Hostivař",2,1
L991D1,1,97,"Nemocnice Motol",3,1
L991D1,1,98,"Depo Hostivař",2,1
L991D1,1,99,"Nemocnice Motol",8,1
L991D1,1,100,"Skalka",6,1
L991D1,1,101,"Nemocnice Motol",1,1
L991D1,1,102,"Depo Hostivař",2,1
L991D1,1,103,"Nemocnice Motol",3,1
L991D1,1,104,"Depo Hostivař",2,1
L991D1,1,105,"Nemocnice Motol",3,1
L991D1,1,106,"Skalka",7,1
L991D1,1,107,"Nemocnice Motol",1,1
L991D1,1,108,"Depo Hostivař",2,1
L991D1,1,109,"Nemocnice Motol",8,1
L991D1,1,110,"Skalka",6,1
L991D1,1,111,"Nemocnice Motol",1,1
L991D1,1,112,"Skalka",6,1
L991D1,1,113,"Nemocnice Motol",1,1
L991D1,1,114,"Skalka",7,1
L991D1,1,115,"Nemocnice Motol",1,1
L991D1,1,116,"Depo Hostivař",2,1
